"ocean","fao_code","fao_area","long_dd","lat_dd"
"Pacific",88,"Pacific, Antarctic",-132.529466045299,-69.2353173166051
"Pacific",77,"Pacific, Eastern Central",-141.768880486439,8.36931022926807
"Atlantic",47,"Atlantic, Southeast",0.794929373644562,-30.220356545154
"Atlantic",21,"Atlantic, Northwest",-57.5190651654417,53.422710275886
"Arctic",18,"Arctic Sea",-118.805252736327,78.7769463537255
"Pacific",61,"Pacific, Northwest",152.615458139678,37.4748255221396
"Pacific",67,"Pacific, Northeast",-152.066353883184,50.1651930067267
"Atlantic",37,"Mediterranean and Black Sea",19.5962137734977,38.1500316068063
"Atlantic",27,"Atlantic, Northeast",2.94182005971327,68.6521653422849
"Atlantic",31,"Atlantic, Western Central",-63.8487675762379,21.4976551382851
"Atlantic",34,"Atlantic, Eastern Central",-20.44403313332,14.3269810323874
"Indian",51,"Indian Ocean, Western",58.1175331479443,-15.1412618203319
"Indian",57,"Indian Ocean, Eastern",104.978007727519,-27.0457925741958
"Pacific",71,"Pacific, Western Central",147.089740709734,0.55542724331376
"Pacific",87,"Pacific, Southeast",-96.7531077525652,-28.6228926601599
"Atlantic",41,"Atlantic, Southwest",-39.0523212883166,-30.4381387452335
"Pacific",81,"Pacific, Southwest",-150,-42.5
"Indian",58,"Indian Ocean, Antarctic",79.8004410268736,-58.4163314647336
"Atlantic",48,"Atlantic, Antarctic",-21.9654514612281,-64.1128624255716
